File,Total Reads,Aligned Reads,Unaligned Reads,Ambiguously Aligned Reads,No Genomic Sequence,Duplicate Reads (removed),Unique Reads (remaining),Total Cs,Methylated CpGs,Unmethylated CpGs,Methylated chgs,Unmethylated chgs,Methylated CHHs,Unmethylated CHHs
./37160_S51_L001_R1_trimmed_bismark_bt2_pe.bam,711,594,117,0,0,,,13057,0,1,17,1767,65,11207
./37161_S52_L001_R1_trimmed_bismark_bt2_pe.bam,1014,841,173,0,0,,,18484,0,1,28,2501,143,15811
./37162_S53_L001_R1_trimmed_bismark_bt2_pe.bam,837,676,161,0,0,,,14845,0,0,31,2002,103,12709
./37163_S54_L001_R1_trimmed_bismark_bt2_pe.bam,1036,856,180,0,0,,,18803,0,0,27,2546,130,16100
./37164_S55_L001_R1_trimmed_bismark_bt2_pe.bam,1239,1007,232,0,0,,,22145,0,0,37,2996,155,18957
./37165_S56_L001_R1_trimmed_bismark_bt2_pe.bam,1264,1025,239,0,0,,,22519,0,2,45,3033,193,19246
./37166_S57_L001_R1_trimmed_bismark_bt2_pe.bam,2095,1721,374,0,0,,,37819,0,2,37,5142,273,32365
./37167_S58_L001_R1_trimmed_bismark_bt2_pe.bam,951,762,189,0,0,,,16749,0,0,23,2266,129,14331
./37168_S59_L001_R1_trimmed_bismark_bt2_pe.bam,870,708,162,0,0,,,15560,0,0,19,2113,147,13281
./37169_S60_L001_R1_trimmed_bismark_bt2_pe.bam,1673,1345,328,0,0,,,29562,0,0,48,3998,262,25254
./37170_S61_L001_R1_trimmed_bismark_bt2_pe.bam,1608,1349,259,0,0,,,29669,0,0,36,4022,212,25399
./37171_S62_L001_R1_trimmed_bismark_bt2_pe.bam,1758,1456,302,0,0,,,31993,0,2,35,4333,186,27437
./37172_S63_L001_R1_trimmed_bismark_bt2_pe.bam,1978,1632,346,0,0,,,35865,1,1,61,4846,292,30664
./37173_S64_L001_R1_trimmed_bismark_bt2_pe.bam,1755,1443,312,0,0,,,31713,0,0,51,4290,180,27192
./37174_S65_L001_R1_trimmed_bismark_bt2_pe.bam,2300,1849,451,0,0,,,40637,0,2,40,5520,403,34672
./37175_S66_L001_R1_trimmed_bismark_bt2_pe.bam,908,651,257,0,0,,,14313,0,0,12,1948,110,12243
./37176_S67_L001_R1_trimmed_bismark_bt2_pe.bam,1571,1275,296,0,0,,,28027,0,0,39,3795,209,23984
./37177_S68_L001_R1_trimmed_bismark_bt2_pe.bam,1497,1236,261,0,0,,,27164,0,1,34,3688,196,23245
./37178_S69_L001_R1_trimmed_bismark_bt2_pe.bam,1113,901,212,0,0,,,19820,0,0,15,2711,173,16921
./37179_S70_L001_R1_trimmed_bismark_bt2_pe.bam,1218,1009,209,0,0,,,22184,0,0,23,3011,135,19015
./37180_S71_L001_R1_trimmed_bismark_bt2_pe.bam,1560,1267,293,0,0,,,27845,0,0,20,3791,199,23835
./37181_S72_L001_R1_trimmed_bismark_bt2_pe.bam,570,450,120,0,0,,,9898,0,0,21,1334,70,8473
./37182_S73_L001_R1_trimmed_bismark_bt2_pe.bam,1547,1311,236,0,0,,,28826,0,0,31,3912,235,24648
./37183_S74_L001_R1_trimmed_bismark_bt2_pe.bam,669,561,108,0,0,,,12326,0,0,9,1681,117,10519
./37184_S75_L001_R1_trimmed_bismark_bt2_pe.bam,1175,932,243,0,0,,,20472,0,0,21,2777,113,17561
./37185_S76_L001_R1_trimmed_bismark_bt2_pe.bam,1925,1598,327,0,0,,,35131,0,0,40,4772,179,30140
./37186_S77_L001_R1_trimmed_bismark_bt2_pe.bam,1908,1540,368,0,0,,,33871,0,1,24,4615,159,29072
./37187_S78_L001_R1_trimmed_bismark_bt2_pe.bam,902,732,170,0,0,,,16086,0,0,12,2188,78,13808
./37188_S79_L001_R1_trimmed_bismark_bt2_pe.bam,1950,1574,376,0,0,,,34590,0,0,23,4714,199,29654
./37189_S80_L001_R1_trimmed_bismark_bt2_pe.bam,1027,833,194,0,0,,,18310,0,0,22,2486,112,15690
./37190_S81_L001_R1_trimmed_bismark_bt2_pe.bam,1503,1218,285,0,0,,,26777,0,0,33,3629,154,22961
./37191_S82_L001_R1_trimmed_bismark_bt2_pe.bam,1452,1151,301,0,0,,,25299,0,1,19,3438,138,21703
./37192_S83_L001_R1_trimmed_bismark_bt2_pe.bam,1202,1014,188,0,0,,,22295,0,1,34,3007,140,19113
./37193_S84_L001_R1_trimmed_bismark_bt2_pe.bam,2188,1796,392,0,0,,,39494,0,0,23,5388,308,33775
./37194_S85_L001_R1_trimmed_bismark_bt2_pe.bam,1154,951,203,0,0,,,20902,0,0,29,2827,186,17860
./37195_S86_L001_R1_trimmed_bismark_bt2_pe.bam,1183,916,267,0,0,,,20138,0,0,18,2736,174,17210
./37196_S87_L001_R1_trimmed_bismark_bt2_pe.bam,2056,1669,387,0,0,,,36700,1,2,63,4957,194,31483
./37197_S88_L001_R1_trimmed_bismark_bt2_pe.bam,1577,1300,277,0,0,,,28561,0,0,44,3865,172,24480
./37198_S89_L001_R1_trimmed_bismark_bt2_pe.bam,933,757,176,0,0,,,16640,0,0,20,2255,126,14239
./37199_S90_L001_R1_trimmed_bismark_bt2_pe.bam,2047,1637,410,0,0,,,35987,0,0,63,4859,266,30799
./37200_S91_L001_R1_trimmed_bismark_bt2_pe.bam,2170,1771,399,0,0,,,38898,0,0,53,5266,239,33340
./37201_S92_L001_R1_trimmed_bismark_bt2_pe.bam,1903,1570,333,0,0,,,34502,0,1,37,4683,228,29553
./37202_S93_L001_R1_trimmed_bismark_bt2_pe.bam,2164,1773,391,0,0,,,38972,0,0,26,5302,142,33502
./37203_S94_L001_R1_trimmed_bismark_bt2_pe.bam,1857,1541,316,0,0,,,33882,0,1,24,4615,208,29034
./37204_S95_L001_R1_trimmed_bismark_bt2_pe.bam,523,418,105,0,0,,,9200,0,0,9,1252,52,7887
./37205_S96_L001_R1_trimmed_bismark_bt2_pe.bam,1852,1465,387,0,0,,,32212,0,1,21,4384,214,27592
./37206_S97_L001_R1_trimmed_bismark_bt2_pe.bam,1659,1354,305,0,0,,,29762,0,0,32,4040,172,25518
./37207_S98_L001_R1_trimmed_bismark_bt2_pe.bam,1847,1502,345,0,0,,,33012,0,1,33,4475,179,28324
./37208_S99_L001_R1_trimmed_bismark_bt2_pe.bam,1999,1637,362,0,0,,,35999,0,0,34,4892,249,30824
./37209_S100_L001_R1_trimmed_bismark_bt2_pe.bam,2549,2100,449,0,0,,,46167,0,1,64,6262,341,39499
./37210_S101_L001_R1_trimmed_bismark_bt2_pe.bam,1854,1515,339,0,0,,,33301,0,0,36,4518,207,28540
./37211_S102_L001_R1_trimmed_bismark_bt2_pe.bam,1769,1450,319,0,0,,,31880,0,0,38,4323,180,27339
./37212_S103_L001_R1_trimmed_bismark_bt2_pe.bam,1861,1522,339,0,0,,,33466,0,1,32,4539,217,28677
./37213_S104_L001_R1_trimmed_bismark_bt2_pe.bam,2345,1922,423,0,0,,,42249,0,2,42,5731,317,36157
./37214_S105_L001_R1_trimmed_bismark_bt2_pe.bam,2436,1995,441,0,0,,,43852,0,2,56,5946,283,37565
./37215_S106_L001_R1_trimmed_bismark_bt2_pe.bam,2603,2145,458,0,0,,,47147,0,0,38,6421,343,40345
./37216_S107_L001_R1_trimmed_bismark_bt2_pe.bam,1824,1529,295,0,0,,,33623,0,0,29,4577,191,28826
./37217_S108_L001_R1_trimmed_bismark_bt2_pe.bam,1318,1074,244,0,0,,,23607,0,0,17,3211,141,20238
./37218_S109_L001_R1_trimmed_bismark_bt2_pe.bam,603,486,117,0,0,,,10685,0,0,20,1444,76,9145
./37219_S110_L001_R1_trimmed_bismark_bt2_pe.bam,1316,1065,251,0,0,,,23419,0,1,24,3176,103,20115
./37220_S111_L001_R1_trimmed_bismark_bt2_pe.bam,1380,1127,253,0,0,,,24761,0,0,22,3372,154,21213
./37221_S112_L001_R1_trimmed_bismark_bt2_pe.bam,389,296,93,0,0,,,6501,0,0,1,888,34,5578
./37222_S113_L001_R1_trimmed_bismark_bt2_pe.bam,1494,1222,272,0,0,,,26878,0,1,35,3642,170,23030
./37223_S114_L001_R1_trimmed_bismark_bt2_pe.bam,1254,1012,242,0,0,,,22242,0,0,33,3012,110,19087
./37224_S115_L001_R1_trimmed_bismark_bt2_pe.bam,1703,1401,302,0,0,,,30799,0,0,41,4174,190,26394
./37225_S116_L001_R1_trimmed_bismark_bt2_pe.bam,1500,1229,271,0,0,,,27031,0,2,19,3680,230,23100
./37226_S117_L001_R1_trimmed_bismark_bt2_pe.bam,1135,936,199,0,0,,,20572,0,0,34,2782,135,17621
./37227_S118_L001_R1_trimmed_bismark_bt2_pe.bam,1116,893,223,0,0,,,19631,0,0,13,2678,77,16863
./37228_S119_L001_R1_trimmed_bismark_bt2_pe.bam,877,727,150,0,0,,,15974,0,0,13,2170,108,13683
./37229_S120_L001_R1_trimmed_bismark_bt2_pe.bam,958,777,181,0,0,,,17087,0,0,29,2313,147,14598
./37230_S121_L001_R1_trimmed_bismark_bt2_pe.bam,1287,1034,253,0,0,,,22723,0,0,20,3083,136,19484
./37231_S122_L001_R1_trimmed_bismark_bt2_pe.bam,1306,1048,258,0,0,,,23043,0,0,25,3124,131,19763
./37232_S123_L001_R1_trimmed_bismark_bt2_pe.bam,2333,1940,393,0,0,,,42646,0,1,49,5789,222,36585
./37233_S124_L001_R1_trimmed_bismark_bt2_pe.bam,2071,1734,337,0,0,,,38118,0,2,48,5167,241,32660
./37234_S125_L001_R1_trimmed_bismark_bt2_pe.bam,2140,1702,438,0,0,,,37416,0,0,36,5093,270,32017
./37235_S126_L001_R1_trimmed_bismark_bt2_pe.bam,1961,1563,398,0,0,,,34368,0,0,32,4671,175,29490
./37236_S127_L001_R1_trimmed_bismark_bt2_pe.bam,1310,1077,233,0,0,,,23692,0,0,16,3227,179,20270
./37237_S128_L001_R1_trimmed_bismark_bt2_pe.bam,1438,1139,299,0,0,,,25030,0,0,67,3362,155,21446
./37238_S129_L001_R1_trimmed_bismark_bt2_pe.bam,710,581,129,0,0,,,12773,0,0,13,1738,92,10930
./37239_S130_L001_R1_trimmed_bismark_bt2_pe.bam,1807,1492,315,0,0,,,32788,0,0,48,4440,217,28083
./37240_S131_L001_R1_trimmed_bismark_bt2_pe.bam,1560,1259,301,0,0,,,27674,0,0,29,3759,273,23613
./37241_S132_L001_R1_trimmed_bismark_bt2_pe.bam,1727,1389,338,0,0,,,30531,0,0,16,4161,282,26072
./37242_S133_L001_R1_trimmed_bismark_bt2_pe.bam,1355,1124,231,0,0,,,24708,0,0,28,3351,148,21181
./37243_S134_L001_R1_trimmed_bismark_bt2_pe.bam,1185,955,230,0,0,,,21002,0,0,32,2842,157,17971
./37244_S135_L001_R1_trimmed_bismark_bt2_pe.bam,562,453,109,0,0,,,9957,0,1,12,1347,76,8521
./37245_S136_L001_R1_trimmed_bismark_bt2_pe.bam,805,651,154,0,0,,,14308,0,0,13,1945,114,12236
./37246_S137_L001_R1_trimmed_bismark_bt2_pe.bam,638,519,119,0,0,,,11415,0,0,12,1550,80,9773
./37247_S138_L001_R1_trimmed_bismark_bt2_pe.bam,575,457,118,0,0,,,10036,0,0,17,1357,75,8587
