Age,Location1,Sex,HCN1_21_ratio,HCN1_24_ratio,HOXB9_44_ratio,HOXB9_47_ratio,HOXB9_58_ratio,HOXB9_60_ratio,HSPA2_34_ratio,HSPA2_41_ratio,HSPA2_60_ratio,HSPA2_74_ratio,IGF2BP3_36_ratio,IGF2BP3_51_ratio,IGF2BP3_58_ratio,MDGA2_40_ratio,MDGA2_43_ratio,MDGA2_45_ratio,MDGA2_58_ratio,MDGA2_73_ratio,OTP_62_ratio,OTP_73_ratio,PBX3_62_ratio,POU4F1_71_ratio,SLC12A5_54_ratio,SLC12A5_59_ratio,SLC12A5_61_ratio,SLC12A5_64_ratio,SLC12A5_86_ratio,SLC12A5_93_ratio
24.1,Eastern DPS,F,0.037888541,0.031314073,0.184146996,0.43420879,0.248482449,0.228229028,0.282485876,0.31097561,0.591463415,0.447204969,0.027812895,0.035479632,0.053682896,0.040154984,0.056850579,0.043210931,0.116709957,0.081785653,0.133878938,0.053003534,0.451447556,0.015092648,0.088937828,0.050289774,0.134730103,0.231083248,0.043504532,0.061233611
14.1,Eastern DPS,F,0.032761653,0.030791303,0.110047202,0.300602529,0.160235621,0.136754415,0.246982759,0.252863436,0.504746182,0.358941528,0.010606061,0.028052805,0.016296296,0.030045435,0.028123233,0.033304746,0.080111306,0.036682843,0.068498102,0.034470377,0.42512275,0.014464304,0.076017887,0.033237121,0.119870112,0.217276578,0.044293381,0.046421527
17.1,Eastern DPS,F,0.024088626,0.028137967,0.128297075,0.290755778,0.143336716,0.123599028,0.27021536,0.321483771,0.618618619,0.431582162,Nan,Nan,Nan,0.03580209,0.026103819,0.026905156,0.074626866,0.047172664,0.029069767,0.005847953,0.430785638,0.035794183,0.066903915,0.031989143,0.083224967,0.166067342,0.033236748,0.048214882
17.1,Eastern DPS,F,0.028150134,0.033373603,0.140367861,0.325230511,0.235715792,0.202141328,0.344971498,0.320959333,0.61677549,0.48255102,0.028841608,0.017458778,0.036320755,0.045260981,0.033449883,0.038438933,0.098264512,0.053158887,0.100301659,0.039687867,0.45328691,0.013570616,0.067078785,0.044937347,0.13337156,0.213496085,0.032882241,0.054309741
24.1,Eastern DPS,F,0.037165942,0.038905622,0.152869591,0.385771911,0.224946929,0.211948896,0.394205866,0.390226398,0.734029175,0.532100733,0.045706679,0.04896379,0.055580159,0.054483762,0.027575394,0.043466121,0.10960344,0.054237603,0.138814445,0.04612947,0.461170031,0.020266549,0.103223174,0.056877898,0.130295858,0.244394084,0.049316406,0.073282076
14.1,Eastern DPS,F,0.027027027,0.047895501,0.111710934,0.319222615,0.17091063,0.17083748,0.309494703,0.320632681,0.619208088,0.468919459,0.023478678,0.021782178,0.029086538,0.036113067,0.02459572,0.035166553,0.081581582,0.034952027,0.07083291,0.03134222,0.458217657,0.018109453,0.075814133,0.041759777,0.090303738,0.176263633,0.044610562,0.048107915
15.1,Eastern DPS,F,0.030151057,0.037201927,0.124206797,0.314582744,0.136233974,0.13428873,0.333505703,0.304329752,0.638932256,0.509576118,0.032642954,0.015669354,0.035225488,0.047104581,0.021565119,0.015716253,0.067900935,0.043025082,0.109756619,0.034111005,0.457814509,0.012612613,0.068205448,0.037809798,0.121201075,0.217757823,0.047247059,0.061882572
23.1,Eastern DPS,F,0.041177082,0.043364133,0.109634894,0.296990403,0.164542467,0.135778247,0.321377118,0.339556388,0.675416062,0.545002003,0.042887638,0.025727291,0.046543067,0.056500232,0.027783936,0.044437795,0.10021322,0.068555283,0.128207057,0.053986805,0.457421566,0.015741985,0.084638041,0.056684309,0.121252857,0.222372515,0.046853147,0.067698259
24.1,Eastern DPS,F,0.035480094,0.045940171,0.152546109,0.388815886,0.232055699,0.248382642,0.320880465,0.349567383,0.632473842,0.477658824,0.061061745,0.006834787,0.035462605,0.055221745,0.011371974,0.025224891,0.099444444,0.04872842,0.105648536,0.039784946,0.454368175,0.013377926,0.08356974,0.050629591,0.121547533,0.219138057,0.033925862,0.054206004
17.1,Eastern DPS,F,0.031507877,0.044325971,0.140087165,0.376701571,0.198355062,0.183234487,0.318910256,0.313417891,0.580075662,0.378694381,0.003177966,0.018058691,0.015690377,0.030894886,0.027442875,0.027111939,0.083511777,0.057710172,0.087676272,0.032860434,0.442900162,0.017087335,0.06512951,0.044654498,0.121515273,0.192942439,0.039791438,0.050075044
